"ALPHA3","Pathway","YEAR","Nmanure_Anim","ANIMAL","Anim_feas","NperTLU_live"
"AUS","GS_affor",2000,1688849.1799284,"cattle",24563.2586777236,68.7550948384556
"AUS","GS_affor",2000,34954.8934091022,"chickens",908.076122904686,38.4933515235387
"AUS","GS_affor",2000,2338237.65541116,"sheep_goats",11690.6104255431,200.009885737214
"AUS","GS_affor",2000,28504.2477208362,"pigs",656.361223929743,43.4276838448447
"AUS","GS_affor",2005,1695036.40826245,"cattle",24672.8595922938,68.7004439806347
"AUS","GS_affor",2005,31216.0789682808,"chickens",810.680764162248,38.506006739335
"AUS","GS_affor",2005,2032272.37914374,"sheep_goats",10160.8596577765,200.009885737214
"AUS","GS_affor",2005,28737.0602383152,"pigs",661.722148042361,43.4276838448447
"AUS","GS_affor",2010,1636835.39974335,"cattle",23805.6247969719,68.7583465547838
"AUS","GS_affor",2010,34434.1227599392,"chickens",894.547415885802,38.4933455157787
"AUS","GS_affor",2010,1391961.47617187,"sheep_goats",6959.46338372853,200.009885737214
"AUS","GS_affor",2010,25987.4736253797,"pigs",598.40800440166,43.4276838448447
"AUS","GS_affor",2015,1678464.2468641,"cattle",24411.0585212874,68.7583557837288
"AUS","GS_affor",2015,36718.3562415645,"chickens",953.379699362175,38.513885145792
"AUS","GS_affor",2015,1446338.92688682,"sheep_goats",7231.33719893784,200.009885737214
"AUS","GS_affor",2015,25793.0408277045,"pigs",593.930841899284,43.4276838448447
"AUS","GS_affor",2020,1439095.44538201,"cattle",20929.6986633464,68.758536304312
"AUS","GS_affor",2020,41602.6517126773,"chickens",1080.42656142189,38.5057654061432
"AUS","GS_affor",2020,1308798.11482306,"sheep_goats",6543.66712924702,200.009885737214
"AUS","GS_affor",2020,25632.7768016899,"pigs",590.240476403688,43.4276838448447
"AUS","GS_affor",2025,1464557.78052011,"cattle",21251.0328773376,68.9170163621523
"AUS","GS_affor",2025,48142.0874131288,"chickens",1249.38564492399,38.5326080932021
"AUS","GS_affor",2025,1322742.77324109,"sheep_goats",6613.38697517678,200.009885737214
"AUS","GS_affor",2025,31060.4457970933,"pigs",715.222251042994,43.4276838448447
"AUS","GS_affor",2030,1467145.6492593,"cattle",21255.7025877263,69.0236252226486
"AUS","GS_affor",2030,51450.7402479768,"chickens",1335.22639297526,38.5333457447094
"AUS","GS_affor",2030,1320553.9588126,"sheep_goats",6602.44344395872,200.009885737214
"AUS","GS_affor",2030,33358.8443243064,"pigs",768.146983004861,43.4276838448447
"AUS","GS_affor",2035,1462373.34191957,"cattle",21156.5692614763,69.121478243752
"AUS","GS_affor",2035,54316.4204949361,"chickens",1409.57445091573,38.5339138770921
"AUS","GS_affor",2035,1313299.81508593,"sheep_goats",6566.17451805073,200.009885737214
"AUS","GS_affor",2035,35350.509469654,"pigs",814.008630898939,43.4276838448447
"AUS","GS_affor",2040,1464331.90381074,"cattle",21153.9650164642,69.2225737667167
"AUS","GS_affor",2040,57551.4096866122,"chickens",1493.46624511884,38.5354606270548
"AUS","GS_affor",2040,1306839.88481261,"sheep_goats",6533.87646313455,200.009885737214
"AUS","GS_affor",2040,37589.1776529826,"pigs",865.557964990223,43.4276838448447
"AUS","GS_affor",2045,1475698.89132117,"cattle",21278.0033200733,69.3532597548294
"AUS","GS_affor",2045,59632.0378889325,"chickens",1547.50883951317,38.5342147109752
"AUS","GS_affor",2045,1300520.46306053,"sheep_goats",6502.2809161005,200.009885737214
"AUS","GS_affor",2045,38090.4375380398,"pigs",877.100369297302,43.4276838448447
"AUS","GS_affor",2050,1478123.10942139,"cattle",21272.2359738952,69.4860244703615
"AUS","GS_affor",2050,61295.6577786154,"chickens",1590.8118355909,38.5310546522601
"AUS","GS_affor",2050,1295288.01043721,"sheep_goats",6476.11994608628,200.009885737214
"AUS","GS_affor",2050,38290.0152238761,"pigs",881.696002040447,43.4276838448447
"AUS","GS_diet",2000,1688849.1799284,"cattle",24563.2586777236,68.7550948384556
"AUS","GS_diet",2000,34954.8934091022,"chickens",908.076122904686,38.4933515235387
"AUS","GS_diet",2000,2338237.65541116,"sheep_goats",11690.6104255431,200.009885737214
"AUS","GS_diet",2000,28504.2477208362,"pigs",656.361223929743,43.4276838448447
"AUS","GS_diet",2005,1695036.40826245,"cattle",24672.8595922938,68.7004439806347
"AUS","GS_diet",2005,31216.0789682808,"chickens",810.680764162248,38.506006739335
"AUS","GS_diet",2005,2032272.37914374,"sheep_goats",10160.8596577765,200.009885737214
"AUS","GS_diet",2005,28737.0602383152,"pigs",661.722148042361,43.4276838448447
"AUS","GS_diet",2010,1636835.39974335,"cattle",23805.6247969719,68.7583465547838
"AUS","GS_diet",2010,34434.1227599392,"chickens",894.547415885802,38.4933455157787
"AUS","GS_diet",2010,1391961.47617187,"sheep_goats",6959.46338372853,200.009885737214
"AUS","GS_diet",2010,25987.4736253797,"pigs",598.40800440166,43.4276838448447
"AUS","GS_diet",2015,1678464.2468641,"cattle",24411.0585212874,68.7583557837288
"AUS","GS_diet",2015,36718.3562415645,"chickens",953.379699362175,38.513885145792
"AUS","GS_diet",2015,1446338.92688682,"sheep_goats",7231.33719893784,200.009885737214
"AUS","GS_diet",2015,25793.0408277045,"pigs",593.930841899284,43.4276838448447
"AUS","GS_diet",2020,1439095.44538201,"cattle",20929.6986633464,68.758536304312
"AUS","GS_diet",2020,41602.6517126773,"chickens",1080.42656142189,38.5057654061432
"AUS","GS_diet",2020,1308798.11482306,"sheep_goats",6543.66712924702,200.009885737214
"AUS","GS_diet",2020,25632.7768016899,"pigs",590.240476403688,43.4276838448447
"AUS","GS_diet",2025,1456254.21707647,"cattle",21110.8080527068,68.9814531703702
